frame,t_sec,danger_raw,danger_smoothed,category,shot_score,shot_signal_kmh,set_piece_confidence,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
65,2.6,21.952836946300504,29.205087895047907,NONE,,-6.266926004198131,,1,10,10,False,80.16352042942759,-6.060661312651092,39.34726211979272,444.7377895599602,27.366778030867188,6.349206349206349,14.824592985332007,20.0,46.21208667959307
66,2.64,36.26150465019728,31.073810550860713,NONE,,-6.587945267265312,,1,9,9,False,74.79981343725254,482.73362929575484,490.77804050614185,348.8615024830069,32.226635961919655,15.396825396825397,11.628716749433563,40.0,100.0
67,2.68,37.71756976641902,32.942728063340034,NONE,,-6.11719563317557,,1,9,9,False,69.45002908230934,481.48059194488775,490.77804050614054,349.23993728260393,37.07387910266551,15.396825396825397,11.641331242753465,40.0,100.0
68,2.72,39.1693619325658,35.085028691194175,NONE,,-6.154885180191888,,1,9,9,False,64.11765244842277,479.9138970497911,490.77804050614185,365.5831477467509,41.90534974663591,15.079365079365079,12.186104924891698,40.0,100.0
69,2.76,40.700483622116266,37.32364179805325,NONE,,-6.192574727208207,,1,9,9,False,58.80741907393278,477.9210037040997,490.7780405061411,351.37700692215003,46.71675719644697,15.714285714285714,11.712566897405,40.0,100.0
70,2.8,41.99195261883497,39.67522171419994,NONE,,-6.230264274224526,,1,9,9,False,53.52591977215213,475.3349371602584,490.7780405061411,354.2944843070836,51.50212975819429,15.079365079365079,11.809816143569455,40.0,100.0
71,2.84,44.79250286012578,42.57913209093593,NONE,,-6.267953821240844,,1,8,9,False,48.28258488782342,471.90013958958394,490.77804050614185,384.91249704309666,56.25292294282269,13.968253968253968,12.830416568103223,50.0,100.0
72,2.88,44.75319927234642,45.06124883386596,NONE,,-6.305643368257163,,1,8,9,False,43.09134815855939,467.21130563376244,490.7780405061411,363.09041016786796,60.9565119023781,14.603174603174605,12.103013672262266,40.0,100.0
73,2.92,47.55999879304672,46.11270637573029,NONE,,-6.343332915273481,,1,7,9,False,37.9735820732227,460.5989476803021,490.7780405061411,377.9751516220567,65.59353180957648,13.968253968253968,12.599171720735225,50.0,100.0
74,2.96,49.04866378550027,46.42211282221516,NONE,,-6.3810224622898,,1,7,9,False,32.96352456122793,450.9051760795296,490.7780405061411,387.46938677944854,70.13296093391484,14.285714285714285,12.915646225981616,50.0,100.0
75,3.0,50.331361882950084,46.50482049121994,NONE,,-6.418712009306119,,1,7,9,False,28.118807481877123,436.0245371415724,490.7780405061411,396.50480832962785,74.52258116412818,13.968253968253968,13.216826944320928,50.0,100.0
76,3.04,56.670148960828044,46.37065576449147,NONE,,-6.456401556322437,,1,8,10,False,23.541730683710497,411.93691183499635,490.77804050614185,182.10161856328432,78.66970236427154,50.63492063492063,6.070053952109477,30.0,100.0
77,3.08,51.738237861460945,45.90149720107422,NONE,,-6.494091103338755,,1,8,10,False,23.292657708397716,22.416567778150345,319.2679102800814,182.50312091978776,78.89537824034952,52.22222222222223,6.083437363992926,30.0,64.01035486134397
78,3.12,48.878995152569225,45.08895256383482,NONE,,-6.531780650355074,,1,8,10,False,23.38454657037455,-8.26999757791505,334.68004808855454,183.08659903208036,78.81212111700087,52.38095238095239,6.102886634402679,30.0,44.831251513803096
79,3.16,41.43044712423744,44.30656439174252,NONE,,-6.569470197371393,,1,7,9,False,27.55178374880452,-375.05134605869745,452.30331785504563,185.4962937035773,75.0363405455202,53.96825396825397,6.183209790119243,30.0,0.0
80,3.2,40.16185396062319,42.996719081627646,NONE,,-6.607159744387712,,1,7,9,False,31.966822105676687,-397.353452118495,452.30331785504575,187.6689240008934,71.03603642640104,53.65079365079365,6.255630800029781,30.0,0.0
81,3.24,39.09050690137449,40.440749051256255,NONE,,-6.64484929140403,,1,7,9,False,36.539948025240655,-411.58133276075705,452.3033178550459,190.26596765303634,66.89249497226912,54.285714285714285,6.342198921767878,30.0,0.0
82,3.28,36.3620498578281,37.66492626221824,NONE,,-6.682538838420348,,1,6,8,False,41.21857646977652,-421.07656000822806,452.3033178550453,168.7638338396996,62.65336155469126,48.888888888888886,5.625461127989987,30.0,0.0
83,3.32,35.041967213253024,34.24563007859827,NONE,,-6.720228385436667,,1,6,8,False,45.97050629543425,-427.6736843091953,452.3033178550459,171.01675928856048,58.34781244756848,48.73015873015873,5.700558642952016,30.0,0.0
84,3.36,35.364541207238794,31.132434375379415,NONE,,-6.757917932452986,,1,7,8,False,50.77516135157546,-432.41895505270935,452.30331785504603,172.92132440844762,53.99449094536419,49.2063492063492,5.764044146948254,40.0,0.0
85,3.4,31.84185507166815,28.14658421462345,NONE,,-6.795607479469304,,1,5,7,False,55.6188792574491,-435.9346115286275,452.3033178550453,55.51651605297752,49.60577602954527,48.73015873015873,1.8505505350992508,30.0,0.0
86,3.44,18.377023421043543,25.599789744769367,NONE,,-6.8332970264856225,,1,5,7,False,60.49227725740783,-438.6058199962854,452.3033178550459,117.96279395084093,45.19016907043536,4.920634920634921,3.932093131694698,20.0,0.0
87,3.48,17.021488414493884,23.046550098282495,NONE,,-6.870986573501941,,1,5,7,False,65.38871954760788,-440.6798061180044,452.30331785504603,120.98149323113284,40.75368252620677,4.761904761904762,4.032716441037762,20.0,0.0
88,3.52,15.638594757388402,20.473628283133664,NONE,,-6.908676120518259,,1,3,7,False,70.30339137424703,-442.32046439752355,452.3033178550453,119.51948921107032,36.300678868464665,4.603174603174604,3.983982973702344,20.0,0.0
89,3.56,14.379889422834742,18.11550896382929,NONE,,-6.946365667534578,,1,3,7,False,75.23272022013828,-443.6395961302124,452.3033178550453,127.81894504151751,31.83439502383655,4.761904761904762,4.2606315013839176,20.0,0.0
90,3.6,13.048793223497663,15.754520400791042,NONE,,-6.984055214550897,,1,3,7,False,80.17400266344991,-444.71541989804723,452.3033178550466,130.22657879040707,27.35728046356479,4.761904761904762,4.340885959680236,20.0,0.0
91,3.64,10.86891348598839,16.787530517999553,NONE,,-7.021744761567215,,1,2,5,False,85.12515710876757,-445.603900078589,452.30331785504524,50.71577171538593,22.87122124481069,3.015873015873016,1.6905257238461975,20.0,0.0
92,3.68,9.522978202780733,16.981292713927086,NONE,,-7.059434308583534,,1,2,5,False,90.08455583984453,-446.3458857969263,452.30331785504535,51.14045887310567,18.377692181489834,3.015873015873016,1.7046819624368559,20.0,0.0
93,3.72,8.215445119588548,18.72520742780888,NONE,,-7.097123855599852,,1,2,5,False,95.0509083980158,-446.97173023541524,452.3033178550465,51.687114539054164,13.877862510808281,3.1746031746031744,1.7229038179684721,20.0,0.0
94,3.76,8.06461802617562,21.954880985917526,NONE,,-7.134813402616171,,1,1,3,False,100.02317897402648,-447.5043518409605,452.30331785504535,15.642725824891386,9.372670741493295,2.6984126984126986,0.5214241941630462,30.0,0.0
95,3.8,6.710104456794053,23.975018177354134,NONE,,-7.17250294963249,,1,1,3,False,105.00052683300446,-447.9613073080181,452.30331785504535,15.327538485915284,4.8628786325376705,2.6984126984126986,0.5109179495305095,30.0,0.0
